iter,elapsed_time,obj,gradnorm,eval,grad,L
149,9.637737747034407,0.031081091973236195,0.00017225522214860326,0,174,0.0025518421252504688
150,9.69257045602717,0.031074391551882987,0.00023159033516898387,0,175,0.002296657912725422
151,9.859694998027408,0.031070015405278095,0.00014841049312117288,0,178,0.008267968485811518
152,9.914815290016122,0.031067408608465612,0.00014485815140980447,0,179,0.0074411716372303665
153,9.971305706014391,0.031064590748591248,0.00014466510032989734,0,180,0.00669705447350733
154,10.02778737200424,0.031061467828801995,0.0001444775052568143,0,181,0.006027349026156597
155,10.082514206005726,0.031058007129178635,0.00014427213921776465,0,182,0.005424614123540937
156,10.136481706009363,0.031054173091316944,0.00014404772536096984,0,183,0.004882152711186844
157,10.192413998011034,0.031049926600326325,0.00014380303086719762,0,184,0.0043939374400681595
158,10.248788039010833,0.031045224656877087,0.00014353688986299104,0,185,0.003954543696061344
159,10.301983997007483,0.03104002002010954,0.00014324825653617084,0,186,0.0035590893264552093
160,10.355500247009331,0.031034260816505326,0.00014293627234302056,0,187,0.0032031803938096883
161,10.409333913004957,0.031027890108196454,0.0001426003513150262,0,188,0.0028828623544287194
162,10.465834622009424,0.031020845411735314,0.00014224028678661406,0,189,0.0025945761189858476
163,10.523389080015477,0.03101305815446537,0.00014185638216810298,0,190,0.002335118507087263
164,10.57901445501193,0.031004453050982476,0.0001414496126952115,0,191,0.002101606656378537
165,10.636024830018869,0.03099494737422532,0.00014102181322877644,0,192,0.0018914459907406831
166,10.69130291401234,0.030984450089470383,0.00014057594355512397,0,193,0.0017023013916666148
167,10.74824741401244,0.030972860801868764,0.00014011660448604092,0,194,0.0015320712524999533
168,10.805194206011947,0.030960068600643795,0.00013965843000801248,0,195,0.001378864127249958
169,10.862158456016914,0.030945954027691926,0.00013945788125648259,0,196,0.0012409777145249623
170,10.915593581012217,0.030930532347406677,0.00014893309709453043,0,197,0.0011168799430724661
171,11.026972997002304,0.03092324762664416,0.00021426645719511771,0,199,0.002010383897530439
172,11.193892246999894,0.030919399352728597,0.00013980795958972456,0,202,0.007237382031109581
173,11.247075913997833,0.030916731673513394,0.0001384722243788107,0,203,0.006513643827998623
174,11.303162914002314,0.030913791027691873,0.0001383380492232244,0,204,0.005862279445198761
175,11.3596782060049,0.03091052780109886,0.0001382601766047353,0,205,0.005276051500678885
176,11.414493581003626,0.030906905809276543,0.00013818452303037974,0,206,0.004748446350610997
177,11.468069540002034,0.030902885767607427,0.00013810590932510373,0,207,0.004273601715549897
178,11.524245790002169,0.030898424203151476,0.00013802401815996007,0,208,0.0038462415439949075
179,11.58225162299641,0.030893472914426214,0.00013794013954760004,0,209,0.003461617389595417
180,11.636542081992957,0.030887978478359956,0.00013785926746894963,0,210,0.003115455650635875
181,11.692351122997934,0.030881881822981218,0.00013780456404942145,0,211,0.0028039100855722877
182,11.748188122990541,0.03087511920415536,0.0001379284653448403,0,212,0.002523519077015059
183,11.805490622995421,0.030867636264991966,0.00013953502232876203,0,213,0.002271167169313553
184,11.86155120600597,0.030859566538561485,0.00015627949395272865,0,214,0.0020440504523821976
185,11.975471456011292,0.030855170774468817,0.00016969864871240834,0,216,0.0036792908142879556
186,12.029813414003002,0.0308508588422306,0.00021098039678861896,0,217,0.00331136173285916
187,12.141730164003093,0.030846945276783062,0.00015532750113077238,0,219,0.005960451119146488
188,12.199477372007095,0.030843611054709674,0.0001445555520904969,0,220,0.00536440600723184
189,12.25505370501196,0.030840055598738557,0.00014206512941495347,0,221,0.004827965406508656
190,12.310633705012151,0.030836148682641427,0.00014217200848213338,0,222,0.00434516886585779
191,12.367349664011272,0.03083184428153614,0.00014474097752294936,0,223,0.003910651979272011
192,12.423377414015704,0.030827155192188184,0.00015355707026799256,0,224,0.00351958678134481
193,12.47836370600271,0.030822328889966687,0.00018466246659614048,0,225,0.003167628103210329
194,12.591127747989958,0.030818821442057606,0.00015363953686278566,0,227,0.005701730585778593
195,12.648627247981494,0.030815402512569336,0.00014635654149040746,0,228,0.005131557527200734
196,12.702519206970464,0.030811710332697233,0.00014523173996767972,0,229,0.0046184017744806604
197,12.758323540969286,0.030807663026727827,0.0001477891016022881,0,230,0.004156561597032595
198,12.812614415975986,0.030803268680216735,0.0001572463987453019,0,231,0.0037409054373293356
199,12.868852207975578,0.03079875696840448,0.00018831449495473933,0,232,0.0033668148935964023
200,12.976603249975597,0.030795331932069226,0.00015141750659714609,0,234,0.006060266808473524
201,13.032694708977942,0.030792103514703073,0.00014373572971545075,0,235,0.005454240127626172
202,13.089338916979614,0.030788617196374237,0.00014205997399580346,0,236,0.004908816114863554
203,13.145013208981254,0.030784777222569656,0.00014269032281592075,0,237,0.004417934503377199
204,13.200908792976406,0.030780549670169823,0.0001462338585507036,0,238,0.00397614105303948
205,13.256054125973606,0.03077597092962028,0.0001581364367073362,0,239,0.003578526947735532
206,13.311327583971433,0.03077141912531036,0.00020003486311320857,0,240,0.003220674252961979
207,13.42026345897466,0.03076781100711573,0.00016230588496273155,0,242,0.005797213655331562
208,13.476164874969982,0.03076440159573809,0.00015297750476829034,0,243,0.005217492289798406
209,13.529297332963324,0.03076075989591616,0.00015236966779243205,0,244,0.004695743060818566
210,13.587318832956953,0.030756815242951385,0.00015855605267934452,0,245,0.0042261687547367095
211,13.64444516596268,0.030752658524540864,0.00017915472297019196,0,246,0.0038035518792630387
212,13.75558124895906,0.030749619089593803,0.00014412842230161253,0,248,0.00684639338267347
213,13.811431248963345,0.03074678230351089,0.0001395989409842652,0,249,0.006161754044406123
214,13.866826873956597,0.03074368577473976,0.00013874117027995377,0,250,0.005545578639965511
215,13.92243149895512,0.030740253933810198,0.00013861077137698394,0,251,0.00499102077596896
216,13.977822207962163,0.03073644254250227,0.0001388107679411897,0,252,0.004491918698372064
217,14.033137665959657,0.030732210532773717,0.00013952486753166646,0,253,0.004042726828534858
218,14.089375206953264,0.030727524896856588,0.0001419012267253187,0,254,0.003638454145681372
219,14.14638412396016,0.030722410682625847,0.00015154390743484837,0,255,0.003274608731113235
220,14.20187253995391,0.030717309522716167,0.000196454046161511,0,256,0.0029471478580019115
221,14.31429916495108,0.030713742307575283,0.00017848239911008425,0,258,0.005304866144403441
222,14.371113205939764,0.030710150719606772,0.0001795478120556477,0,259,0.0047743795299630964
223,14.428836038932786,0.03070646553653349,0.0001985643210456745,0,260,0.004296941576966787
224,14.540718746939092,0.030703350019856957,0.00014306642288804163,0,262,0.007734494838540217
225,14.597637038939865,0.03070081670324362,0.0001393156331362377,0,263,0.006961045354686195
226,14.65440270594263,0.03069804915578249,0.00013889032292036102,0,264,0.006264940819217576
227,14.709997080935864,0.030694977160979735,0.00013885584334385697,0,265,0.005638446737295818
228,14.765757038927404,0.030691561768867257,0.000138911388500548,0,266,0.005074602063566237
229,14.81971116393106,0.030687763353962946,0.000139019639823729,0,267,0.0045671418572096134
230,14.873466830933467,0.03068353866734077,0.0001392171494574538,0,268,0.004110427671488652
231,14.928397747935378,0.030678841339884164,0.00013970034112909246,0,269,0.0036993849043397867
232,14.983723663943238,0.030673629797421324,0.0001414827355640311,0,270,0.003329446413905808
233,15.040565247953054,0.030667927779944117,0.00015085225863652947,0,271,0.002996501772515227
234,15.09488399795373,0.030662371768166326,0.00020782512637836843,0,272,0.0026968515952637043
235,15.263139288959792,0.030659487355337012,0.00013960613957260807,0,275,0.009708665742949336
236,15.318655996961752,0.030657480016690112,0.00013962786860775465,0,276,0.008737799168654402
237,15.373699454969028,0.0306552483435435,0.00013968592052876786,0,277,0.007864019251788963
238,15.429866454971489,0.03065276656883605,0.00013975173090464987,0,278,0.007077617326610067
239,15.487164495963953,0.03065000636125563,0.00013982581245119228,0,279,0.00636985559394906
240,15.542683370964369,0.030646936110006295,0.00013990927699115703,0,280,0.005732870034554154
241,15.599871828962932,0.03064352051738322,0.00014000344008787078,0,281,0.005159583031098739
242,15.655018620964256,0.03063972014126931,0.0001401098347052368,0,282,0.004643624727988865
243,15.710933162961737,0.0306354908733124,0.0001402302514158752,0,283,0.004179262255189979
244,15.76640337095887,0.030630783341157986,0.0001403667914869054,0,284,0.003761336029670981
245,15.8217157459585,0.03062554222057639,0.00014052194066377434,0,285,0.003385202426703883
246,15.87736057996517,0.030619705440280896,0.0001406987181433656,0,286,0.003046682184033495
247,15.932444537975243,0.030613203262945907,0.00014090139826959566,0,287,0.0027420139656301455
248,15.988437246967806,0.03060595728631005,0.0001411427504791421,0,288,0.002467812569067131
249,16.045411329963827,0.030597880460305673,0.00014154904615549838,0,289,0.002221031312160418
250,16.10238132996892,0.03058889996931234,0.00014430960916381842,0,290,0.001998928180944376
251,16.157400870972197,0.030579544165560517,0.00019263559844642943,0,291,0.0017990353628499383
252,16.32173153696931,0.03057627272458211,0.00016231533335264633,0,294,0.006476527306259778
253,16.379547369971988,0.03057304688499152,0.0001548774081778434,0,295,0.0058288745756338006
254,16.43716703596874,0.030569567480374357,0.00015458921536177532,0,296,0.00524598711807042
255,16.494438118956168,0.030565771063962,0.00016000158861273367,0,297,0.004721388406263379
256,16.550025827949867,0.03056172097540503,0.00017768294281542482,0,298,0.004249249565637041
257,16.607145827962086,0.030557895143830123,0.00023310930302316424,0,299,0.003824324609073337
258,16.717771161958808,0.030554173694563393,0.00017255885788438886,0,301,0.006883784296332006
259,16.77597545395838,0.030550992635623747,0.0001580171903794051,0,302,0.006195405866698806
260,16.83214624595712,0.03054764308529253,0.00015505089075178697,0,303,0.0055758652800289256
261,16.888499745953595,0.030543990447605567,0.00015751942905598606,0,304,0.005018278752026033
262,16.945082911959616,0.03054003127403893,0.00016788596867190993,0,305,0.00451645087682343
263,17.002024911955232,0.03053596553183772,0.00020030893458490015,0,306,0.004064805789141087
264,17.11596595395531,0.030532763128277098,0.00015691009186741102,0,308,0.0073166504204539564
265,17.171513120963937,0.03052982685099097,0.0001489883546825658,0,309,0.006584985378408561
266,17.228485204963363,0.030526652012918994,0.00014729626667584224,0,310,0.005926486840567706
267,17.285421412962023,0.030523142284078843,0.0001474144779063451,0,311,0.005333838156510935
268,17.337834704958368,0.030519252798775917,0.00014906626746905057,0,312,0.004800454340859841
269,17.393449329945724,0.03051496495618651,0.00015440003620687752,0,313,0.004320408906773857
270,17.452625787933357,0.030510365956156617,0.00017287621402633686,0,314,0.0038883680160964715
271,17.50986270493013,0.03050617448031822,0.00024313372904050055,0,315,0.0034995312144868243
272,17.679448412935017,0.030503113005412804,0.00014802008035907812,0,318,0.012598312372152568
273,17.733108954926138,0.030501403591316444,0.0001453762668821593,0,319,0.01133848113493731
274,17.790503912925487,0.0304995391504023,0.00014546280586677415,0,320,0.010204633021443579
275,17.846832620925852,0.030497464889842688,0.0001455681911446572,0,321,0.009184169719299222
276,17.9034953709197,0.030495156713475458,0.00014568653605706792,0,322,0.0082657527473693
277,17.959616329928394,0.03049258777358976,0.00014581956929022723,0,323,0.00743917747263237
